,movie,year,imdb,metascore,votes,n_imdb
3443,Rampage,2018,6.1,45,131287,61.0
3444,Roma,2018,7.7,96,127318,77.0
3445,Isle of Dogs,2018,7.9,82,125857,79.0
3446,Searching,2018,7.6,71,122151,76.0
3447,Bumblebee,2018,6.8,66,121859,68.0
3448,Crazy Rich Asians,2018,6.9,74,121769,69.0
3449,Ralph Breaks the Internet,2018,7.1,71,116315,71.0
3450,The Equalizer 2,2018,6.7,50,116162,67.0
3451,Bad Times at the El Royale,2018,7.1,60,115380,71.0
3452,Sicario: Day of the Soldado,2018,7.1,61,112149,71.0
3453,A Simple Favor,2018,6.8,67,110124,68.0
3454,The Predator,2018,5.4,48,108424,54.0
3455,Halloween,2018,6.6,67,107425,66.0
3456,The Ballad of Buster Scruggs,2018,7.3,79,106774,73.0
3457,The Nun,2018,5.3,46,106592,53.0
3458,Vice,2018,7.2,61,104957,72.0
3459,Maze Runner: The Death Cure,2018,6.2,50,102114,62.0
3460,Joker,2019,8.5,59,747087,85.0
3461,Avengers: Endgame,2019,8.4,78,693854,84.0
3462,Once Upon a Time... in Hollywood,2019,7.7,83,432952,77.0
3463,Captain Marvel,2019,6.9,64,404022,69.0
3464,Parasite,2019,8.6,96,358067,86.0
3465,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,53,295430,67.0
3466,Spider-Man: Far from Home,2019,7.5,69,277927,75.0
3467,The Irishman,2019,7.9,94,272643,79.0
3468,1917,2019,8.4,78,271399,84.0
3469,Knives Out,2019,8.0,82,264810,80.0
3470,John Wick: Chapter 3 - Parabellum,2019,7.5,73,237247,75.0
3471,Shazam!,2019,7.1,71,224727,71.0
3472,Alita: Battle Angel,2019,7.3,53,200884,73.0
3473,Marriage Story,2019,8.0,93,200676,80.0
3474,Aladdin,2019,7.0,53,197972,70.0
3475,Ford v Ferrari,2019,8.1,81,193131,81.0
3476,Us,2019,6.9,81,192771,69.0
3477,Jojo Rabbit,2019,7.9,58,188244,79.0
3478,Glass,2019,6.7,43,187280,67.0
3479,The Lion King,2019,6.9,55,182177,69.0
3480,Toy Story 4,2019,7.8,84,171778,78.0
3481,It Chapter Two,2019,6.6,58,167124,66.0
3482,El Camino: A Breaking Bad Movie,2019,7.4,72,157388,74.0
3483,Ad Astra,2019,6.6,80,156925,66.0
3484,Uncut Gems,2019,7.5,90,145268,75.0
3485,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,143731,65.0
3486,Midsommar,2019,7.1,72,139059,71.0
3487,X-Men: Dark Phoenix,2019,5.8,43,132577,58.0
3488,Jumanji: The Next Level,2019,6.7,58,127264,67.0
3489,Pokémon Detective Pikachu,2019,6.6,53,120891,66.0
3490,Godzilla: King of the Monsters,2019,6.1,48,115770,61.0
3491,Terminator: Dark Fate,2019,6.3,54,113633,63.0
3492,6 Underground,2019,6.1,41,112851,61.0
3493,Rocketman,2019,7.3,69,105682,73.0
3494,Zombieland: Double Tap,2019,6.8,55,100066,68.0
3495,Frozen II,2019,7.0,64,99556,70.0
3496,Doctor Sleep,2019,7.4,59,94391,74.0
3497,The Gentlemen,2019,8.0,51,94296,80.0
3498,Joker,2019,8.5,59,747087,85.0
3499,Avengers: Endgame,2019,8.4,78,693854,84.0
3500,Once Upon a Time... in Hollywood,2019,7.7,83,432952,77.0
3501,Captain Marvel,2019,6.9,64,404022,69.0
3502,Parasite,2019,8.6,96,358067,86.0
3503,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,53,295430,67.0
3504,Spider-Man: Far from Home,2019,7.5,69,277927,75.0
3505,The Irishman,2019,7.9,94,272643,79.0
3506,1917,2019,8.4,78,271399,84.0
3507,Knives Out,2019,8.0,82,264810,80.0
3508,John Wick: Chapter 3 - Parabellum,2019,7.5,73,237247,75.0
3509,Shazam!,2019,7.1,71,224727,71.0
3510,Alita: Battle Angel,2019,7.3,53,200909,73.0
3511,Marriage Story,2019,8.0,93,200676,80.0
3512,Aladdin,2019,7.0,53,197972,70.0
3513,Ford v Ferrari,2019,8.1,81,193131,81.0
3514,Us,2019,6.9,81,192771,69.0
3515,Jojo Rabbit,2019,7.9,58,188244,79.0
3516,Glass,2019,6.7,43,187280,67.0
3517,The Lion King,2019,6.9,55,182177,69.0
3518,Toy Story 4,2019,7.8,84,171778,78.0
3519,It Chapter Two,2019,6.6,58,167124,66.0
3520,El Camino: A Breaking Bad Movie,2019,7.4,72,157380,74.0
3521,Ad Astra,2019,6.6,80,156925,66.0
3522,Uncut Gems,2019,7.5,90,145268,75.0
3523,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,143709,65.0
3524,Midsommar,2019,7.1,72,139059,71.0
3525,X-Men: Dark Phoenix,2019,5.8,43,132577,58.0
3526,Jumanji: The Next Level,2019,6.7,58,127264,67.0
3527,Pokémon Detective Pikachu,2019,6.6,53,120891,66.0
3528,Godzilla: King of the Monsters,2019,6.1,48,115770,61.0
3529,Terminator: Dark Fate,2019,6.3,54,113633,63.0
3530,6 Underground,2019,6.1,41,112851,61.0
3531,Rocketman,2019,7.3,69,105682,73.0
3532,Zombieland: Double Tap,2019,6.8,55,100066,68.0
3533,Frozen II,2019,7.0,64,99556,70.0
3534,Doctor Sleep,2019,7.4,59,94391,74.0
3535,The Gentlemen,2019,8.0,51,94296,80.0
3536,Joker,2019,8.5,59,747087,85.0
3537,Avengers: Endgame,2019,8.4,78,693854,84.0
3538,Once Upon a Time... in Hollywood,2019,7.7,83,432952,77.0
3539,Captain Marvel,2019,6.9,64,404022,69.0
3540,Parasite,2019,8.6,96,358067,86.0
3541,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,53,295430,67.0
3542,Spider-Man: Far from Home,2019,7.5,69,277927,75.0
3543,The Irishman,2019,7.9,94,272643,79.0
3544,1917,2019,8.4,78,271399,84.0
3545,Knives Out,2019,8.0,82,264810,80.0
3546,John Wick: Chapter 3 - Parabellum,2019,7.5,73,237247,75.0
3547,Shazam!,2019,7.1,71,224727,71.0
3548,Alita: Battle Angel,2019,7.3,53,200909,73.0
3549,Marriage Story,2019,8.0,93,200676,80.0
3550,Aladdin,2019,7.0,53,197946,70.0
3551,Ford v Ferrari,2019,8.1,81,193131,81.0
3552,Us,2019,6.9,81,192771,69.0
3553,Jojo Rabbit,2019,7.9,58,188322,79.0
3554,Glass,2019,6.7,43,187280,67.0
3555,The Lion King,2019,6.9,55,182177,69.0
3556,Toy Story 4,2019,7.8,84,171778,78.0
3557,It Chapter Two,2019,6.6,58,167124,66.0
3558,El Camino: A Breaking Bad Movie,2019,7.4,72,157388,74.0
3559,Ad Astra,2019,6.6,80,156925,66.0
3560,Uncut Gems,2019,7.5,90,145268,75.0
3561,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,143731,65.0
3562,Midsommar,2019,7.1,72,139059,71.0
3563,X-Men: Dark Phoenix,2019,5.8,43,132598,58.0
3564,Jumanji: The Next Level,2019,6.7,58,127264,67.0
3565,Pokémon Detective Pikachu,2019,6.6,53,120891,66.0
3566,Godzilla: King of the Monsters,2019,6.1,48,115770,61.0
3567,Terminator: Dark Fate,2019,6.3,54,113633,63.0
3568,6 Underground,2019,6.1,41,112851,61.0
3569,Rocketman,2019,7.3,69,105682,73.0
3570,Zombieland: Double Tap,2019,6.8,55,100066,68.0
3571,Frozen II,2019,7.0,64,99556,70.0
3572,Doctor Sleep,2019,7.4,59,94372,74.0
3573,The Gentlemen,2019,8.0,51,94296,80.0
3574,Joker,2019,8.5,59,747087,85.0
3575,Avengers: Endgame,2019,8.4,78,693854,84.0
3576,Once Upon a Time... in Hollywood,2019,7.7,83,432952,77.0
3577,Captain Marvel,2019,6.9,64,404022,69.0
3578,Parasite,2019,8.6,96,358067,86.0
3579,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,53,295363,67.0
3580,Spider-Man: Far from Home,2019,7.5,69,277927,75.0
3581,The Irishman,2019,7.9,94,272643,79.0
3582,1917,2019,8.4,78,271399,84.0
3583,Knives Out,2019,8.0,82,264810,80.0
3584,John Wick: Chapter 3 - Parabellum,2019,7.5,73,237247,75.0
3585,Shazam!,2019,7.1,71,224727,71.0
3586,Alita: Battle Angel,2019,7.3,53,200909,73.0
3587,Marriage Story,2019,8.0,93,200676,80.0
3588,Aladdin,2019,7.0,53,197946,70.0
3589,Ford v Ferrari,2019,8.1,81,193131,81.0
3590,Us,2019,6.9,81,192771,69.0
3591,Jojo Rabbit,2019,7.9,58,188244,79.0
3592,Glass,2019,6.7,43,187280,67.0
3593,The Lion King,2019,6.9,55,182177,69.0
3594,Toy Story 4,2019,7.8,84,171778,78.0
3595,It Chapter Two,2019,6.6,58,167124,66.0
3596,El Camino: A Breaking Bad Movie,2019,7.4,72,157388,74.0
3597,Ad Astra,2019,6.6,80,156925,66.0
3598,Uncut Gems,2019,7.5,90,145268,75.0
3599,Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,143731,65.0
3600,Midsommar,2019,7.1,72,139059,71.0
3601,X-Men: Dark Phoenix,2019,5.8,43,132598,58.0
3602,Jumanji: The Next Level,2019,6.7,58,127264,67.0
3603,Pokémon Detective Pikachu,2019,6.6,53,120891,66.0
3604,Godzilla: King of the Monsters,2019,6.1,48,115770,61.0
3605,Terminator: Dark Fate,2019,6.3,54,113607,63.0
3606,6 Underground,2019,6.1,41,112851,61.0
3607,Rocketman,2019,7.3,69,105682,73.0
3608,Zombieland: Double Tap,2019,6.8,55,100066,68.0
3609,Frozen II,2019,7.0,64,99556,70.0
3610,Doctor Sleep,2019,7.4,59,94391,74.0
3611,The Gentlemen,2019,8.0,51,94296,80.0
